win,kills,assists,deaths,damage,heal,mitig,hero_ana,hero_ashe,hero_baptiste,hero_bastion,hero_brigitte,hero_cassidy,hero_doomfist,hero_dva,hero_echo,hero_freja,hero_genji,hero_hanzo,hero_hazard,hero_illari,hero_junker_queen,hero_junkrat,hero_juno,hero_kiriko,hero_lifeweaver,hero_lucio,hero_mauga,hero_mei,hero_mercy,hero_moira,hero_orisa,hero_pharah,hero_ramattra,hero_reaper,hero_reinhardt,hero_roadhog,hero_sigma,hero_sojourn,hero_soldier,hero_sombra,hero_symmetra,hero_torbjorn,hero_tracer,hero_venture,hero_widowmaker,hero_winston,hero_wrecking_ball,hero_wuyang,hero_zarya,hero_zenyatta,hero_unknown,role_tank,role_damage,role_support,role_unknown,match_total_kills,match_total_deaths,match_total_damage,match_total_heal,kill_share_match,death_share_match,damage_share_match,heal_share_match,kp_share_match,team_total_kills,team_total_deaths,team_total_damage,team_total_heal,kill_share_team,death_share_team,damage_share_team,heal_share_team,kp_share_team,kills_per_death,damage_per_kill,damage_per_death,heal_per_death,mitig_per_death,kda
1,25,5,3,9136,192,4652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,144,49,75940,35363,0.1736111111111111,0.061224489795918366,0.12030550434553595,0.005429403613946781,0.20833333333333334,92,17,39239,16231,0.2717391304347826,0.17647058823529413,0.23282958281301766,0.011829215698355,0.32608695652173914,8.333333333333334,365.44,3045.3333333333335,64.0,1550.6666666666667,10.0
1,20,0,4,12118,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,144,49,75940,35363,0.1388888888888889,0.08163265306122448,0.15957334737951015,0.0,0.1388888888888889,92,17,39239,16231,0.21739130434782608,0.23529411764705882,0.3088254032977395,0.0,0.21739130434782608,5.0,605.9,3029.5,0.0,0.0,5.0
1,27,1,0,9763,0,2049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,144,49,75940,35363,0.1875,0.0,0.1285620226494601,0.0,0.19444444444444445,92,17,39239,16231,0.29347826086956524,0.0,0.2488085832972298,0.0,0.30434782608695654,27.0,361.5925925925926,9763.0,0.0,2049.0,28.0
1,12,14,3,6271,7622,673,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,144,49,75940,35363,0.08333333333333333,0.061224489795918366,0.08257835132999737,0.21553601221615812,0.18055555555555555,92,17,39239,16231,0.13043478260869565,0.17647058823529413,0.1598154896913785,0.4695952190253219,0.2826086956521739,4.0,522.5833333333334,2090.3333333333335,2540.6666666666665,224.33333333333334,8.666666666666666
1,8,3,7,1951,8417,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,144,49,75940,35363,0.05555555555555555,0.14285714285714285,0.025691335264682643,0.23801713655515652,0.0763888888888889,92,17,39239,16231,0.08695652173913043,0.4117647058823529,0.04972094090063457,0.5185755652763231,0.11956521739130435,1.1428571428571428,243.875,278.7142857142857,1202.4285714285713,12.0,1.5714285714285714
0,18,5,0,10427,0,9412,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,144,49,75940,35363,0.125,0.0,0.13730576771135106,0.0,0.1597222222222222,52,32,36701,19132,0.34615384615384615,0.0,0.2841067000899158,0.0,0.4423076923076923,18.0,579.2777777777778,10427.0,0.0,9412.0,23.0
0,9,1,10,10827,0,439,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,144,49,75940,35363,0.0625,0.20408163265306123,0.14257308401369503,0.0,0.06944444444444445,52,32,36701,19132,0.17307692307692307,0.3125,0.2950055856788643,0.0,0.19230769230769232,0.9,1203.0,1082.7,0.0,43.9,1.0
0,12,6,7,6735,51,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,144,49,75940,35363,0.08333333333333333,0.14285714285714285,0.08868843824071636,0.0014421853349546136,0.125,52,32,36701,19132,0.23076923076923078,0.21875,0.18350998610392089,0.0026656909889190886,0.34615384615384615,1.7142857142857142,561.25,962.1428571428571,7.285714285714286,41.42857142857143,2.5714285714285716
0,7,9,10,4341,10422,1610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,144,49,75940,35363,0.04861111111111111,0.20408163265306123,0.05716355017118778,0.2947148149195487,0.1111111111111111,52,32,36701,19132,0.1346153846153846,0.3125,0.11828015585406393,0.5447417938532302,0.3076923076923077,0.7,620.1428571428571,434.1,1042.2,161.0,1.6
0,6,13,5,4371,8659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,144,49,75940,35363,0.041666666666666664,0.10204081632653061,0.057558598893863576,0.24486044736023527,0.13194444444444445,52,32,36701,19132,0.11538461538461539,0.15625,0.11909757227323506,0.4525925151578507,0.36538461538461536,1.2,728.5,874.2,1731.8,0.0,3.8
