src_team,src_image,win,team,slot_index,hero,kills,assists,deaths,damage,heal,mitig
blue,2025-11-25 030028.png,1,blue,0,wrecking_ball,25,5,3,9136,192,4652
blue,2025-11-25 030028.png,1,blue,1,ashe,20,0,4,12118,0,0
blue,2025-11-25 030028.png,1,blue,2,venture,27,1,0,9763,0,2049
blue,2025-11-25 030028.png,1,blue,3,ana,12,14,3,6271,7622,673
blue,2025-11-25 030028.png,1,blue,4,wuyang,8,3,7,1951,8417,84
blue,2025-11-25 030028.png,0,red,0,dva,18,5,0,10427,0,9412
blue,2025-11-25 030028.png,0,red,1,cassidy,9,1,10,10827,0,439
blue,2025-11-25 030028.png,0,red,2,sombra,12,6,7,6735,51,290
blue,2025-11-25 030028.png,0,red,3,lucio,7,9,10,4341,10422,1610
blue,2025-11-25 030028.png,0,red,4,kiriko,6,13,5,4371,8659,0
blue,2025-11-25 030317.png,1,blue,0,doomfist,18,4,6,8386,382,3888
blue,2025-11-25 030317.png,1,blue,1,ashe,7,2,5,10034,0,0
blue,2025-11-25 030317.png,1,blue,2,reaper,20,0,0,9585,1774,0
blue,2025-11-25 030317.png,1,blue,3,zenyatta,9,15,7,5393,4217,0
blue,2025-11-25 030317.png,1,blue,4,baptiste,16,7,2,5690,8813,140
blue,2025-11-25 030317.png,0,red,0,roadhog,7,1,7,8429,7206,1989
blue,2025-11-25 030317.png,0,red,1,cassidy,12,3,8,7714,0,216
blue,2025-11-25 030317.png,0,red,2,sojourn,10,1,11,5718,0,0
blue,2025-11-25 030317.png,0,red,3,wuyang,0,6,4,4210,9287,547
blue,2025-11-25 030317.png,0,red,4,kiriko,7,16,5,3530,6856,0
blue,2025-11-25 030348.png,1,blue,0,doomfist,28,10,5,8993,204,4904
blue,2025-11-25 030348.png,1,blue,1,ashe,20,0,6,11275,0,0
blue,2025-11-25 030348.png,1,blue,2,reaper,30,0,7,10372,2208,0
blue,2025-11-25 030348.png,1,blue,3,kiriko,16,16,4,4935,7183,0
blue,2025-11-25 030348.png,1,blue,4,ana,10,15,5,2895,6298,261
blue,2025-11-25 030348.png,0,red,0,junker_queen,18,5,0,9568,2359,3177
blue,2025-11-25 030348.png,0,red,1,cassidy,8,2,11,4275,73,169
blue,2025-11-25 030348.png,0,red,2,reaper,21,0,8,9814,1818,0
blue,2025-11-25 030348.png,0,red,3,ana,6,11,7,3612,4669,330
blue,2025-11-25 030348.png,0,red,4,kiriko,8,14,0,3749,9717,0
blue,KakaoTalk_20251124_212103298.png,1,blue,0,doomfist,0,6,0,2,0,0
blue,KakaoTalk_20251124_212103298.png,1,blue,1,junkrat,6,2,0,6,0,0
blue,KakaoTalk_20251124_212103298.png,1,blue,2,cassidy,0,1,5,2910,0,0
blue,KakaoTalk_20251124_212103298.png,1,blue,3,kiriko,0,0,2,200,0,0
blue,KakaoTalk_20251124_212103298.png,1,blue,4,brigitte,0,0,4,0,0,8
blue,KakaoTalk_20251124_212103298.png,0,red,0,mauga,5,6,0,46,18,0
blue,KakaoTalk_20251124_212103298.png,0,red,1,cassidy,2,2,4,0,0,0
blue,KakaoTalk_20251124_212103298.png,0,red,2,genji,0,0,4,0,45,0
blue,KakaoTalk_20251124_212103298.png,0,red,3,kiriko,0,0,4,0,33,0
blue,KakaoTalk_20251124_212103298.png,0,red,4,wuyang,0,5,0,8,0,6
blue,blue_2025-11-26_01-27-13.png,1,blue,0,zarya,27,3,6,17417,0,7907
