win,kills,assists,deaths,damage,heal,mitig,hero_ana,hero_ashe,hero_baptiste,hero_bastion,hero_brigitte,hero_cassidy,hero_doomfist,hero_dva,hero_echo,hero_freja,hero_genji,hero_hanzo,hero_hazard,hero_illari,hero_junker_queen,hero_junkrat,hero_juno,hero_kiriko,hero_lifeweaver,hero_lucio,hero_mauga,hero_mei,hero_mercy,hero_moira,hero_orisa,hero_pharah,hero_ramattra,hero_reaper,hero_reinhardt,hero_roadhog,hero_sigma,hero_sojourn,hero_soldier,hero_sombra,hero_symmetra,hero_torbjorn,hero_tracer,hero_venture,hero_widowmaker,hero_winston,hero_wrecking_ball,hero_wuyang,hero_zarya,hero_zenyatta,hero_unknown,role_tank,role_damage,role_support,role_unknown,match_total_kills,match_total_deaths,match_total_damage,match_total_heal,kill_share_match,death_share_match,damage_share_match,heal_share_match,kp_share_match,team_total_kills,team_total_deaths,team_total_damage,team_total_heal,kill_share_team,death_share_team,damage_share_team,heal_share_team,kp_share_team,kills_per_death,damage_per_kill,damage_per_death,heal_per_death,mitig_per_death,kda
1,25,5,3,9136,192,4652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,144,64,75940,35363,0.1736111111111111,0.046875,0.12030550434553595,0.005429403613946781,0.20833333333333334,92,23,39239,16231,0.2717391304347826,0.13043478260869565,0.23282958281301766,0.011829215698355,0.32608695652173914,8.333333333333334,365.44,3045.3333333333335,64.0,1550.6666666666667,10.0
1,20,4,4,12118,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,144,64,75940,35363,0.1388888888888889,0.0625,0.15957334737951015,0.0,0.16666666666666666,92,23,39239,16231,0.21739130434782608,0.17391304347826086,0.3088254032977395,0.0,0.2608695652173913,5.0,605.9,3029.5,0.0,0.0,6.0
1,27,1,6,9763,0,2049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,144,64,75940,35363,0.1875,0.09375,0.1285620226494601,0.0,0.19444444444444445,92,23,39239,16231,0.29347826086956524,0.2608695652173913,0.2488085832972298,0.0,0.30434782608695654,4.5,361.5925925925926,1627.1666666666667,0.0,341.5,4.666666666666667
1,12,14,3,6271,7622,673,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,144,64,75940,35363,0.08333333333333333,0.046875,0.08257835132999737,0.21553601221615812,0.18055555555555555,92,23,39239,16231,0.13043478260869565,0.13043478260869565,0.1598154896913785,0.4695952190253219,0.2826086956521739,4.0,522.5833333333334,2090.3333333333335,2540.6666666666665,224.33333333333334,8.666666666666666
1,8,3,7,1951,8417,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,144,64,75940,35363,0.05555555555555555,0.109375,0.025691335264682643,0.23801713655515652,0.0763888888888889,92,23,39239,16231,0.08695652173913043,0.30434782608695654,0.04972094090063457,0.5185755652763231,0.11956521739130435,1.1428571428571428,243.875,278.7142857142857,1202.4285714285713,12.0,1.5714285714285714
0,18,5,9,10427,0,9412,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,144,64,75940,35363,0.125,0.140625,0.13730576771135106,0.0,0.1597222222222222,52,41,36701,19132,0.34615384615384615,0.21951219512195122,0.2841067000899158,0.0,0.4423076923076923,2.0,579.2777777777778,1158.5555555555557,0.0,1045.7777777777778,2.5555555555555554
0,9,1,10,10827,0,439,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,144,64,75940,35363,0.0625,0.15625,0.14257308401369503,0.0,0.06944444444444445,52,41,36701,19132,0.17307692307692307,0.24390243902439024,0.2950055856788643,0.0,0.19230769230769232,0.9,1203.0,1082.7,0.0,43.9,1.0
0,12,6,7,6735,51,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,144,64,75940,35363,0.08333333333333333,0.109375,0.08868843824071636,0.0014421853349546136,0.125,52,41,36701,19132,0.23076923076923078,0.17073170731707318,0.18350998610392089,0.0026656909889190886,0.34615384615384615,1.7142857142857142,561.25,962.1428571428571,7.285714285714286,41.42857142857143,2.5714285714285716
0,7,9,10,4341,10422,1610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,144,64,75940,35363,0.04861111111111111,0.15625,0.05716355017118778,0.2947148149195487,0.1111111111111111,52,41,36701,19132,0.1346153846153846,0.24390243902439024,0.11828015585406393,0.5447417938532302,0.3076923076923077,0.7,620.1428571428571,434.1,1042.2,161.0,1.6
0,6,13,5,4371,8659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,144,64,75940,35363,0.041666666666666664,0.078125,0.057558598893863576,0.24486044736023527,0.13194444444444445,52,41,36701,19132,0.11538461538461539,0.12195121951219512,0.11909757227323506,0.4525925151578507,0.36538461538461536,1.2,728.5,874.2,1731.8,0.0,3.8
1,18,4,6,8386,382,3888,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,135,64,68689,38535,0.13333333333333333,0.09375,0.12208650584518628,0.009913066043856235,0.16296296296296298,80,29,39088,15186,0.225,0.20689655172413793,0.21454154727793695,0.02515474779402081,0.275,3.0,465.8888888888889,1397.6666666666667,63.666666666666664,648.0,3.6666666666666665
1,17,2,5,10034,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,135,64,68689,38535,0.1259259259259259,0.078125,0.14607870255790592,0.0,0.14074074074074075,80,29,39088,15186,0.2125,0.1724137931034483,0.25670282439623415,0.0,0.2375,3.4,590.2352941176471,2006.8,0.0,0.0,3.8
1,20,0,9,9585,1774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,135,64,68689,38535,0.14814814814814814,0.140625,0.13954199362343314,0.046036071104190994,0.14814814814814814,80,29,39088,15186,0.25,0.3103448275862069,0.24521592304543594,0.11681812195443171,0.25,2.2222222222222223,479.25,1065.0,197.11111111111111,0.0,2.2222222222222223
1,9,15,7,5393,4217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,135,64,68689,38535,0.06666666666666667,0.109375,0.07851329907263171,0.10943298300246529,0.17777777777777778,80,29,39088,15186,0.1125,0.2413793103448276,0.1379707327056897,0.2776899776109575,0.3,1.2857142857142858,599.2222222222222,770.4285714285714,602.4285714285714,0.0,3.4285714285714284
1,16,17,2,5690,8813,140,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,135,64,68689,38535,0.11851851851851852,0.03125,0.08283713549476626,0.22870118074477747,0.24444444444444444,80,29,39088,15186,0.2,0.06896551724137931,0.14556897257470322,0.58033715264059,0.4125,8.0,355.625,2845.0,4406.5,70.0,16.5
0,17,1,7,8429,7206,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,135,64,68689,38535,0.1259259259259259,0.109375,0.12271251583222932,0.18699883223043987,0.13333333333333333,55,35,29601,23349,0.3090909090909091,0.2,0.2847538934495456,0.308621354233586,0.32727272727272727,2.4285714285714284,495.8235294117647,1204.142857142857,1029.4285714285713,284.14285714285717,2.5714285714285716
0,12,3,8,7714,0,216,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,135,64,68689,38535,0.08888888888888889,0.125,0.11230328000116467,0.0,0.1111111111111111,55,35,29601,23349,0.21818181818181817,0.22857142857142856,0.26059930407756493,0.0,0.2727272727272727,1.5,642.8333333333334,964.25,0.0,27.0,1.875
0,10,1,11,5718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,135,64,68689,38535,0.07407407407407407,0.171875,0.08324476990493383,0.0,0.08148148148148149,55,35,29601,23349,0.18181818181818182,0.3142857142857143,0.19316914969088883,0.0,0.2,0.9090909090909091,571.8,519.8181818181819,0.0,0.0,1.0
0,9,6,4,4210,9287,547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,135,64,68689,38535,0.06666666666666667,0.0625,0.06129074524305202,0.24100168677825354,0.1111111111111111,55,35,29601,23349,0.16363636363636364,0.11428571428571428,0.14222492483362048,0.3977472268619641,0.2727272727272727,2.25,467.77777777777777,1052.5,2321.75,136.75,3.75
0,7,16,5,3530,6856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,135,64,68689,38535,0.05185185185185185,0.078125,0.05139105242469682,0.17791618009601662,0.17037037037037037,55,35,29601,23349,0.12727272727272726,0.14285714285714285,0.11925272794838013,0.2936314189044499,0.41818181818181815,1.4,504.2857142857143,706.0,1371.2,0.0,4.6
1,28,10,5,8993,204,4904,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,165,71,69488,34529,0.1696969696969697,0.07042253521126761,0.12941802901220353,0.005908077268383098,0.23030303030303031,104,27,38470,15893,0.2692307692307692,0.18518518518518517,0.23376657135430207,0.012835839677845592,0.36538461538461536,5.6,321.17857142857144,1798.6,40.8,980.8,7.6
1,20,4,6,11275,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,165,71,69488,34529,0.12121212121212122,0.08450704225352113,0.1622582316371172,0.0,0.14545454545454545,104,27,38470,15893,0.19230769230769232,0.2222222222222222,0.2930855211853392,0.0,0.23076923076923078,3.3333333333333335,563.75,1879.1666666666667,0.0,0.0,4.0
1,30,0,7,10372,2208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,165,71,69488,34529,0.18181818181818182,0.09859154929577464,0.14926318213216672,0.06394624808132295,0.18181818181818182,104,27,38470,15893,0.28846153846153844,0.25925925925925924,0.26961268520925397,0.1389290882778582,0.28846153846153844,4.285714285714286,345.73333333333335,1481.7142857142858,315.42857142857144,0.0,4.285714285714286
1,16,16,4,4935,7183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,165,71,69488,34529,0.09696969696969697,0.056338028169014086,0.07101945659682248,0.20802803440586173,0.19393939393939394,104,27,38470,15893,0.15384615384615385,0.14814814814814814,0.12828177800883805,0.4519599823821808,0.3076923076923077,4.0,308.4375,1233.75,1795.75,0.0,8.0
1,10,15,5,2895,6298,261,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,165,71,69488,34529,0.06060606060606061,0.07042253521126761,0.04166186967533963,0.182397405079788,0.15151515151515152,104,27,38470,15893,0.09615384615384616,0.18518518518518517,0.0752534442422667,0.3962750896621154,0.2403846153846154,2.0,289.5,579.0,1259.6,52.2,5.0
0,18,5,9,9568,2359,3177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,165,71,69488,34529,0.10909090909090909,0.1267605633802817,0.137692839051347,0.06831938370644965,0.1393939393939394,61,44,31018,18636,0.29508196721311475,0.20454545454545456,0.30846605196982396,0.1265829577162481,0.3770491803278688,2.0,531.5555555555555,1063.111111111111,262.1111111111111,353.0,2.5555555555555554
0,8,2,11,4275,73,169,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,165,71,69488,34529,0.048484848484848485,0.15492957746478872,0.061521413769283904,0.0021141649048625794,0.06060606060606061,61,44,31018,18636,0.13114754098360656,0.25,0.13782319943258753,0.003917149602919081,0.16393442622950818,0.7272727272727273,534.375,388.6363636363636,6.636363636363637,15.363636363636363,0.9090909090909091
0,21,0,8,9814,1818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,165,71,69488,34529,0.12727272727272726,0.11267605633802817,0.14123301865070229,0.05265139448000232,0.12727272727272726,61,44,31018,18636,0.3442622950819672,0.18181818181818182,0.3163969308143659,0.09755312298776561,0.3442622950819672,2.625,467.3333333333333,1226.75,227.25,0.0,2.625
0,6,11,7,3612,4669,330,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,165,71,69488,34529,0.03636363636363636,0.09859154929577464,0.05198019801980198,0.13521967042196414,0.10303030303030303,61,44,31018,18636,0.09836065573770492,0.1590909090909091,0.11644851376620027,0.2505365958360163,0.2786885245901639,0.8571428571428571,602.0,516.0,667.0,47.142857142857146,2.4285714285714284
0,8,14,9,3749,9717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,165,71,69488,34529,0.048484848484848485,0.1267605633802817,0.05395176145521529,0.2814156216513655,0.13333333333333333,61,44,31018,18636,0.13114754098360656,0.20454545454545456,0.12086530401702238,0.5214101738570509,0.36065573770491804,0.8888888888888888,468.625,416.55555555555554,1079.6666666666667,0.0,2.4444444444444446
1,27,3,6,17417,0,7907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,150,71,69039,38809,0.18,0.08450704225352113,0.252277698112661,0.0,0.2,88,27,39392,17640,0.3068181818181818,0.2222222222222222,0.442145613322502,0.0,0.3409090909090909,4.5,645.074074074074,2902.8333333333335,0.0,1317.8333333333333,5.0
1,18,0,8,7290,134,2473,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,150,71,69039,38809,0.12,0.11267605633802817,0.10559249120062573,0.0034528073385039553,0.12,88,27,39392,17640,0.20454545454545456,0.2962962962962963,0.1850629569455727,0.007596371882086168,0.20454545454545456,2.25,405.0,911.25,16.75,309.125,2.25
1,19,10,3,8191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,150,71,69039,38809,0.12666666666666668,0.04225352112676056,0.11864308579208853,0.0,0.19333333333333333,88,27,39392,17640,0.2159090909090909,0.1111111111111111,0.20793562144597888,0.0,0.32954545454545453,6.333333333333333,431.10526315789474,2730.3333333333335,0.0,0.0,9.666666666666666
